Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.417914e+01  1.984994e+00  5.952280e+05  0.000000e+00
5000          -6.818539e+00  2.686969e+01  4.175186e-03  8.651985e+00  1.216651e+09  7.397478e-01
10000         -6.767543e+00  1.631861e+01  1.286507e-03  7.386854e+00  2.226563e+09  8.084344e-01
15000         -6.796740e+00  1.628550e+01  6.828308e-04  5.690227e+00  3.236889e+09  8.341481e-01
20000         -6.833366e+00  1.624788e+01  4.630089e-04  4.313252e+00  4.247005e+09  8.476704e-01
25000         -6.863707e+00  1.621708e+01  3.356934e-04  3.273471e+00  5.257693e+09  8.559029e-01
30000         -6.886888e+00  1.619360e+01  2.474785e-04  2.499777e+00  6.267400e+09  8.616157e-01
35000         -6.904220e+00  1.617605e+01  1.828671e-04  1.925983e+00  7.277641e+09  8.656796e-01
40000         -6.917095e+00  1.616302e+01  1.354218e-04  1.500809e+00  8.287432e+09  8.687999e-01
45000         -6.926641e+00  1.615335e+01  1.003742e-04  1.185817e+00  9.297845e+09  8.711841e-01
50000         -6.933715e+00  1.614619e+01  7.426739e-05  9.524679e-01  1.031069e+10  8.728949e-01
55000         -6.938955e+00  1.614089e+01  5.507469e-05  7.796040e-01  1.132097e+10  8.744981e-01
60000         -6.942838e+00  1.613696e+01  4.076958e-05  6.515505e-01  1.233110e+10  8.758491e-01
65000         -6.945714e+00  1.613405e+01  3.021955e-05  5.566903e-01  1.334181e+10  8.769573e-01
70000         -6.947844e+00  1.613189e+01  2.241135e-05  4.864199e-01  1.435186e+10  8.779496e-01
75000         -6.949422e+00  1.613029e+01  1.662970e-05  4.343639e-01  1.536260e+10  8.787723e-01
80000         -6.950591e+00  1.612911e+01  1.227856e-05  3.958018e-01  1.637328e+10  8.794965e-01
85000         -6.951457e+00  1.612823e+01  9.089708e-06  3.672348e-01  1.738389e+10  8.801397e-01
90000         -6.952099e+00  1.612759e+01  6.735325e-06  3.460740e-01  1.839383e+10  8.807446e-01
95000         -6.952573e+00  1.612710e+01  5.006790e-06  3.303977e-01  1.940407e+10  8.812733e-01
100000        -6.952925e+00  1.612675e+01  3.695488e-06  3.187835e-01  2.041416e+10  8.817555e-01
