Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.725217e+01  7.408550e+00  3.694270e+06  0.000000e+00
5000          -9.481321e+00  8.975603e+01  4.127502e-03  8.800483e+00  6.913526e+09  8.678784e-01
10000         -9.460683e+00  8.933778e+01  2.246857e-03  8.002563e+00  1.363151e+10  8.803280e-01
15000         -9.456818e+00  8.909068e+01  1.632690e-03  7.247495e+00  2.034629e+10  8.846967e-01
20000         -9.456087e+00  8.888699e+01  1.380920e-03  6.593386e+00  2.706062e+10  8.869123e-01
25000         -9.456011e+00  8.870926e+01  1.228333e-03  6.031757e+00  3.377478e+10  8.882515e-01
30000         -9.456028e+00  8.854903e+01  1.106262e-03  5.547585e+00  4.048993e+10  8.891247e-01
35000         -9.456059e+00  8.840305e+01  9.880066e-04  5.127399e+00  4.724052e+10  8.890820e-01
40000         -9.456074e+00  8.827036e+01  8.773804e-04  4.760960e+00  5.395814e+10  8.895934e-01
45000         -9.456083e+00  8.815029e+01  7.743835e-04  4.440186e+00  6.067572e+10  8.899919e-01
50000         -9.456085e+00  8.804233e+01  6.866455e-04  4.158788e+00  6.739598e+10  8.902756e-01
