Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.724717e+01  7.372109e+00  3.324846e+06  0.000000e+00
5000          -7.708251e+00  8.976275e+01  3.425598e-03  1.228442e+01  6.931834e+09  8.655862e-01
10000         -7.715225e+00  8.869278e+01  1.604080e-03  1.389149e+01  1.371197e+10  8.751621e-01
15000         -7.718533e+00  8.649821e+01  1.058578e-03  1.510947e+01  2.045470e+10  8.800079e-01
20000         -7.720517e+00  8.410392e+01  7.915497e-04  1.612755e+01  2.719836e+10  8.824208e-01
25000         -7.721872e+00  8.188560e+01  6.313324e-04  1.701528e+01  3.394496e+10  8.837983e-01
30000         -7.722870e+00  7.992374e+01  5.245209e-04  1.780806e+01  4.068817e+10  8.847928e-01
35000         -7.723627e+00  7.820203e+01  4.482269e-04  1.852882e+01  4.743155e+10  8.855013e-01
40000         -7.724189e+00  7.668271e+01  3.890991e-04  1.918884e+01  5.417429e+10  8.860439e-01
45000         -7.724564e+00  7.533028e+01  3.433228e-04  1.979698e+01  6.091636e+10  8.864762e-01
50000         -7.724730e+00  7.411452e+01  3.070831e-04  2.036065e+01  6.766009e+10  8.868004e-01
