Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  2.145350e+01  8.915300e+00  6.130052e+06  0.000000e+00
5000          -7.739815e+00  8.980392e+01  3.364563e-03  1.147446e+01  1.366800e+10  8.779776e-01
10000         -7.746605e+00  8.980392e+01  1.628876e-03  1.229068e+01  2.715598e+10  8.837979e-01
15000         -7.749904e+00  8.980392e+01  1.081467e-03  1.291661e+01  4.068642e+10  8.848309e-01
20000         -7.751897e+00  8.979916e+01  8.106232e-04  1.344344e+01  5.417397e+10  8.860491e-01
25000         -7.753264e+00  8.975030e+01  6.484985e-04  1.390843e+01  6.766540e+10  8.867309e-01
30000         -7.754276e+00  8.965089e+01  5.416870e-04  1.433012e+01  8.115201e+10  8.872386e-01
35000         -7.755065e+00  8.949469e+01  4.653931e-04  1.471572e+01  9.463864e+10  8.876015e-01
40000         -7.755702e+00  8.928382e+01  4.081726e-04  1.507677e+01  1.081344e+11  8.877985e-01
45000         -7.756229e+00  8.902551e+01  3.623962e-04  1.541360e+01  1.216263e+11  8.879805e-01
50000         -7.756677e+00  8.872726e+01  3.280640e-04  1.573352e+01  1.351137e+11  8.881556e-01
